time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-05-26,17.27,52.47,27.07,48.96,34.86,48.28,56.56,25.61,13.86,34.29,11.86,16.7,93.02,47.01,49.14,70.95,15.43,18.36,18.68,29.5,25.6,13.98,44.02,77.89,20.96,108.18,113.0,75.03,22.66,31.25
2021-05-27,17.15,50.67,26.35,49.49,33.98,47.52,55.32,25.98,13.52,33.79,12.23,16.26,90.08,46.2,47.9,70.6,15.17,18.29,18.06,29.8,24.92,13.65,43.28,76.93,21.22,106.93,113.0,74.62,22.56,30.75
2021-05-28,17.47,51.14,27.36,48.96,34.65,48.02,56.63,26.82,13.88,33.94,13.07,16.79,92.12,46.29,48.7,69.95,15.53,19.25,19.06,31.85,25.7,14.04,43.67,77.08,21.39,106.49,112.0,75.12,23.0,30.55
2021-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,18.59,50.19,28.26,47.73,35.94,49.59,57.05,26.68,14.28,36.26,13.99,16.93,90.16,44.93,48.52,67.35,15.63,20.14,20.25,33.8,26.04,14.56,43.23,75.6,22.79,104.45,110.0,74.62,23.2,29.4
2021-06-01,18.91,49.81,27.86,47.28,35.6,51.26,57.81,26.45,14.5,38.18,13.82,17.02,87.62,44.28,48.61,66.7,15.94,20.19,19.93,32.4,25.75,14.7,45.47,76.63,23.72,106.67,106.2,74.13,23.23,30.7
2021-06-02,20.03,49.25,27.51,47.28,35.19,50.32,60.36,25.98,14.37,37.15,14.78,17.15,86.55,45.03,49.05,65.84,15.99,20.48,20.98,32.2,25.6,14.46,46.48,76.93,23.95,104.45,106.6,73.71,23.53,30.1
2021-06-03,20.61,49.25,28.32,48.43,36.28,50.15,60.98,26.59,15.13,37.36,15.81,18.33,85.98,45.09,49.23,66.66,16.66,21.22,22.3,32.75,26.57,14.87,46.79,77.67,24.61,105.33,106.9,74.37,23.67,30.5
2021-06-04,20.34,49.25,28.44,50.37,36.55,49.85,63.12,27.9,14.98,37.5,15.6,18.51,87.87,44.61,50.83,66.57,16.71,22.46,22.23,32.15,26.48,15.16,46.0,77.0,24.61,107.56,107.4,73.8,24.04,32.2
2021-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,19.31,48.49,27.16,51.61,35.19,48.68,62.64,29.3,14.64,36.26,14.66,17.71,85.57,44.15,50.3,67.18,15.43,21.47,21.5,30.7,25.41,14.46,45.16,78.11,24.02,109.33,111.8,74.63,24.14,33.35
2021-06-08,18.05,48.39,26.0,50.28,33.16,47.56,60.85,27.29,13.65,34.4,13.66,16.61,85.16,44.12,48.61,67.92,14.91,21.22,20.07,28.6,24.0,13.61,43.85,77.59,23.25,106.49,117.2,74.88,23.97,31.65
2021-06-09,19.06,47.54,26.38,49.75,34.18,48.09,60.36,27.34,14.11,34.61,14.59,17.17,85.57,44.25,47.81,67.96,16.1,19.84,21.3,29.6,24.63,13.96,44.72,78.18,24.45,105.6,115.3,74.38,24.07,31.7
2021-06-10,19.14,47.54,25.48,48.96,33.5,48.2,59.46,26.59,13.82,35.5,14.57,16.88,84.43,43.89,46.65,69.3,15.17,20.39,21.44,28.9,24.29,13.71,44.64,76.71,24.17,103.56,113.8,76.97,24.07,30.8
2021-06-11,19.45,49.25,26.23,50.55,35.8,49.15,60.09,27.2,14.56,36.53,14.59,17.55,86.8,44.45,47.99,71.08,15.33,21.17,22.85,30.5,25.51,14.23,45.08,78.11,24.54,104.89,115.5,76.8,24.04,31.5
2021-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,19.14,50.19,26.06,52.93,35.53,49.32,61.81,27.76,14.41,36.88,14.34,17.51,87.54,44.8,48.88,71.69,15.02,21.22,24.17,30.8,25.55,14.11,44.72,80.98,24.12,106.67,115.7,77.22,23.77,31.95
2021-06-15,19.84,52.09,26.06,53.99,35.26,48.97,61.26,29.67,14.69,36.6,13.54,17.51,87.21,44.74,48.7,72.98,14.4,20.39,24.17,30.1,25.36,14.0,45.08,82.97,23.66,108.18,117.0,77.55,22.29,32.85
2021-06-16,19.48,51.99,26.29,53.2,34.18,48.91,63.47,29.9,14.28,35.64,13.07,17.24,85.33,44.45,49.76,73.2,13.89,19.64,22.96,29.2,24.58,13.84,45.6,81.05,23.19,105.87,116.5,76.63,22.39,32.8
2021-06-17,19.59,52.09,26.64,54.69,34.18,48.62,64.85,31.67,14.2,35.36,13.78,17.77,84.34,45.09,50.39,71.9,13.99,19.6,23.48,29.4,24.34,13.76,45.69,80.32,23.28,104.0,116.5,75.97,22.13,32.85
2021-06-18,19.65,52.09,26.78,53.81,34.65,49.32,64.02,32.19,14.47,35.85,13.82,18.06,87.21,45.74,50.21,74.15,14.14,19.92,23.48,29.65,24.73,13.8,47.57,82.9,23.47,104.36,116.0,76.89,22.29,32.5
2021-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,19.51,51.61,26.12,52.67,34.04,50.38,64.23,32.19,14.22,35.23,13.45,18.11,89.01,47.3,52.08,73.63,13.83,19.74,22.78,29.85,24.44,13.71,46.74,82.53,23.47,104.36,114.0,75.63,22.29,31.8
2021-06-22,20.01,51.9,26.12,52.84,35.13,50.26,65.54,32.05,14.52,35.57,13.73,18.71,88.85,47.37,52.08,72.38,13.99,19.77,23.01,30.2,24.68,13.78,47.18,82.16,23.56,104.45,115.0,75.63,22.13,31.5
2021-06-23,20.1,51.71,26.35,51.87,35.67,49.97,64.85,31.25,14.47,35.36,13.45,18.66,87.46,46.72,51.26,73.72,13.83,19.6,23.2,29.75,24.78,13.9,48.1,82.01,23.52,103.91,115.1,75.13,23.13,31.5
2021-06-24,20.32,51.71,26.23,51.17,36.14,49.85,66.16,32.47,14.47,34.81,13.75,18.71,87.21,46.72,50.81,74.46,13.89,19.62,23.34,29.0,24.68,13.86,48.54,82.6,23.28,104.45,115.5,74.05,23.0,32.0
2021-06-25,20.4,51.71,26.44,51.43,36.41,50.15,67.68,32.61,14.92,34.88,13.78,18.75,87.13,46.62,51.26,74.46,13.94,19.79,24.96,29.5,25.02,13.96,49.37,82.6,22.86,104.45,115.9,74.88,22.86,31.6
2021-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
