period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2017-Q3,3,2017,13.0,1.6,0.13,1431.0,0.0,24.2,0.041,0.006,23.2,-0.033,-0.074,11570.0,BID
2017-Q2,2,2017,12.2,1.6,0.141,1546.0,0.0,22.8,0.044,0.006,21.8,0.052,-0.016,11969.0,BID
2017-Q1,1,2017,10.3,1.4,0.146,1572.0,0.0,22.4,0.045,0.007,21.4,0.035,0.027,11375.0,BID
2016-Q4,4,2016,8.5,1.2,0.147,1531.0,0.0,22.8,0.044,0.007,21.8,-0.037,-0.043,10993.0,BID
2016-Q3,3,2016,9.3,1.3,0.153,1600.0,0.1,20.7,0.048,0.007,19.7,0.034,-0.007,11415.0,BID
2016-Q2,2,2016,9.5,1.4,0.166,1611.0,0.1,20.9,0.048,0.008,19.9,0.015,0.062,11044.0,BID
2016-Q1,1,2016,9.6,1.3,0.158,1517.0,0.1,19.6,0.051,0.008,18.6,0.069,-0.031,10880.0,BID
2015-Q4,4,2015,11.5,1.8,0.17,1565.0,0.1,20.8,0.048,0.008,19.7,0.031,0.062,10177.0,BID
2015-Q3,3,2015,14.1,2.1,0.165,1474.0,0.1,19.8,0.05,0.009,18.8,0.126,0.079,9870.0,BID
2015-Q2,2,2015,13.5,2.1,0.161,1366.0,0.1,20.6,0.049,0.008,19.6,0.01,0.042,8762.0,BID
2015-Q1,1,2015,10.6,1.6,0.154,1311.0,0.1,19.0,0.053,0.009,18.0,0.046,0.064,8678.0,BID
2024-Q4,4,2024,19.0,1.8,0.095,2810.0,0.1,11.1,0.09,0.009,9.7,-0.01,0.093,30370.0,BVH
2024-Q3,3,2024,16.3,1.4,0.086,2571.0,0.1,10.5,0.096,0.008,9.0,0.022,0.057,30673.0,BVH
2024-Q2,2,2024,18.5,1.5,0.083,2432.0,0.1,10.5,0.095,0.008,9.1,0.016,0.014,30000.0,BVH
2024-Q1,1,2024,17.4,1.4,0.083,2398.0,0.1,10.7,0.094,0.008,9.2,0.03,0.033,29537.0,BVH
2023-Q4,4,2023,16.6,1.3,0.083,2320.0,0.1,10.4,0.096,0.008,9.0,-0.016,0.01,28665.0,BVH
2023-Q3,3,2023,17.5,1.4,0.078,2297.0,0.1,10.0,0.1,0.008,8.5,0.019,0.03,29138.0,BVH
2023-Q2,2,2023,18.9,1.5,0.077,2231.0,0.1,10.4,0.096,0.008,9.0,0.016,0.044,28605.0,BVH
2023-Q1,1,2023,21.6,1.6,0.075,2136.0,0.1,10.5,0.095,0.008,9.1,0.025,0.038,28167.0,BVH
2022-Q4,4,2022,21.6,1.6,0.074,2059.0,0.1,9.9,0.101,0.008,8.5,-0.084,-0.107,27478.0,BVH
2022-Q3,3,2022,20.8,1.6,0.079,2305.0,0.1,8.6,0.117,0.01,7.2,0.016,-0.036,30002.0,BVH
2022-Q2,2,2022,19.6,1.6,0.083,2391.0,0.1,8.8,0.113,0.01,7.5,0.012,-0.057,29534.0,BVH
2022-Q1,1,2022,21.7,1.9,0.089,2537.0,0.1,8.5,0.118,0.011,7.2,0.023,0.001,29180.0,BVH
