symbol,organ_name,icb_name2,icb_name3,icb_name4
NSH,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Tài nguyên Cơ bản,Kim loại,Nhôm
QHD,Công ty Cổ phần Que hàn điện Việt Đức,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Công nghiệp phức hợp
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,Bất động sản
SSM,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TNC,Công ty Cổ phần Cao su Thống Nhất,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
SBV,Công ty Cổ phần Siam Brothers Việt Nam,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
QNU,Công ty Cổ phần Môi trường Đô thị Quảng Nam,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
TNS,Công ty Cổ phần Thép tấm lá Thống Nhất,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
SVN,Công ty Cổ phần Tập đoàn Vexilla Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
SWC,Tổng Công ty Cổ phần Đường Sông Miền Nam,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
ST8,Công ty Cổ phần Tập đoàn ST8,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị văn phòng
SKN,Công ty Cổ phần Nước giải khát Sanna Khánh Hòa,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
RTB,Công ty Cổ phần Cao su Tân Biên,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
SNZ,Tổng Công ty Cổ phần Phát triển Khu Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
STC,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,Ngân hàng,Ngân hàng
TBT,Công ty Cổ phần Xây dựng Công trình Giao thông Bến Tre,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
STL,Công ty Cổ phần Sông Đà - Thăng Long,Bất động sản,Bất động sản,Bất động sản
TNI,Công ty Cổ phần Tập đoàn Thành Nam,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
STP,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
STS,Công ty Cổ phần Dịch vụ vận tải Sài Gòn,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
SSI,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
STT,Công ty Cổ phần Vận chuyển Sài Gòn Tourist,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
SBR,Công ty Cổ phần Cao su Sông Bé,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
SRB,Công ty Cổ phần Tập đoàn Sara,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
TNM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng Công trình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
STW,Công ty Cổ phần Cấp nước Sóc Trăng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
SVH,Công ty Cổ phần Thủy điện Sông Vàng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TCR,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
SHC,Công ty Cổ phần Hàng hải Sài Gòn,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
NSL,Công ty Cổ phần Cấp nước Sơn La,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
SDU,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng,Ngân hàng,Ngân hàng
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
SVD,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
SVI,Công ty Cổ phần Bao bì Biên Hòa,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
THP,Công ty Cổ phần Thủy sản và Thương mại Thuận Phước,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
TR1,Công ty Cổ phần Vận Tải 1 Traco,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
SZE,Công ty Cổ phần Môi trường Sonadezi,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
SZL,Công ty Cổ phần Sonadezi Long Thành,Bất động sản,Bất động sản,Bất động sản
SZB,Công ty Cổ phần Sonadezi Long Bình,Bất động sản,Bất động sản,Bất động sản
TA6,Công ty Cổ phần Đầu tư và Xây lắp Thành An 665,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TA9,Công ty Cổ phần Xây lắp Thành An 96,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TKA,Công ty Cổ phần Bao bì Tân Khánh An,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
TRC,Công ty Cổ phần Cao su Tây Ninh,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
SVG,Công ty Cổ phần Hơi kỹ nghệ Que hàn,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Công nghiệp phức hợp
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
TRS,Công ty Cổ phần Vận tải và Dịch vụ Hàng Hải,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
TAL,Công Ty Cổ Phần Đầu Tư Bất Động Sản Taseco,Bất động sản,Bất động sản,Bất động sản
TAR,Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TAW,Công ty Cổ phần Cấp nước Trung An,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
TB8,Công ty Cổ phần Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
TDF,Công ty Cổ phần Trung Đô,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TBD,Tổng công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
TS4,Công ty Cổ phần Thủy sản số 4,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TBH,Công ty Cổ phần Tổng Bách Hóa,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
TBW,Công ty cổ phần Nước sạch Thái Bình,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
TBX,Công ty Cổ phần Xi măng Thái Bình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
TCO,Công ty Cổ phần TCO Holdings,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
TST,Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Dịch vụ Máy tính
TCI,Công ty Cổ phần Chứng khoán Thành Công,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
G36,Tổng Công ty 36 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TCW,Công ty Cổ phần Kho Vận Tân Cảng,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
VCP,Công ty Cổ phần Xây dựng và Năng lượng VCP,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
GTD,Công ty Cổ phần Giầy Thượng Đình,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép
TTB,Công ty Cổ phần TTBGROUP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,Bất động sản,Bất động sản,Bất động sản
TTT,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
TTD,Công ty Cổ phần Bệnh viện Tim Tâm Đức,Y tế,Thiết bị và Dịch vụ Y tế,Chăm sóc y tế
DTH,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
TDM,Công ty Cổ phần Nước Thủ Dầu Một,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
NTH,Công ty Cổ phần Thủy điện Nước Trong,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TDP,Công ty Cổ phần Thuận Đức,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
TDS,Công ty Cổ phần Thép Thủ Đức - VNSTEEL,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
TDW,Công ty Cổ phần Cấp nước Thủ Đức,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
CET,Công ty Cổ phần HTC Holding,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
TED,Tổng Công ty Tư vấn Thiết kế Giao thông Vận tải - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
GND,Công ty Cổ phần Gạch ngói Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TEG,Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành,Bất động sản,Bất động sản,Bất động sản
TEL,Công ty Cổ phần Phát triển Công trình Viễn thông,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TET,Công ty Cổ phần Vải sợi May mặc Miền Bắc,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
TFC,Công ty Cổ phần Trang,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
TGG,Công ty Cổ phần The Golden Group,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm
TVC,Công ty Cổ phần Tập đoàn Quản lý Tài sản Trí Việt,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TNW,Công ty Cổ phần Nước sạch Thái Nguyên,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
TXM,Công ty Cổ phần VICEM Thạch cao Xi Măng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
UDC,Công ty Cổ phần Xây dựng và Phát triển đô thị Tỉnh Bà Rịa - Vũng Tàu,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
MTB,Công ty Cổ phần Môi trường và Công trình đô thị tỉnh Thái Bình,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
UMC,Công ty Cổ phần Công trình đô thị Nam Định,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
UXC,Công ty Cổ phần Chế biến Thủy sản Út Xi,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
V12,Công ty Cổ phần Xây dựng số 12,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
V21,Công ty Cổ phần Vinaconex 21,Bất động sản,Bất động sản,Bất động sản
VCT,Công ty Cổ phần Tư vấn Xây dựng Vinaconex,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
BTB,Công ty Cổ phần Bia Hà Nội - Thái Bình,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
THB,Công ty Cổ phần Bia Hà Nội - Thanh Hóa,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
VDT,Công ty Cổ phần Lưới thép Bình Tây,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
THD,Công ty Cổ phần Thaiholdings,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
VFG,Công ty Cổ phần Khử trùng Việt Nam,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VGP,Công ty Cổ phần Cảng Rau Quả,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
VUA,Công ty Cổ phần Chứng khoán Stanley Brothers,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VHC,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
VIC,Tập đoàn Vingroup - Công ty CP,Bất động sản,Bất động sản,Bất động sản
THT,Công ty Cổ phần Than Hà Tu - Vinacomin,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
VTR,Công ty Cổ phần Du lịch và tiếp thị giao thông vận tải Việt Nam - Vietravel,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
VIM,Công ty Cổ phần Khoáng sản Viglacera,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
TQN,Công ty Cổ phần Thông Quảng Ninh,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
VHD,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD,Bất động sản,Bất động sản,Bất động sản
KIP,Công ty Cổ phần K.I.P Việt Nam,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
THS,Công ty Cổ phần Thanh Hoa Sông Đà,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
VGR,Công ty Cổ phần Cảng xanh VIP,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
THU,Công ty Cổ phần Môi trường và Công trình đô thị Thanh Hóa,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
VWS,Công ty Cổ phần Nước và Môi trường Việt Nam,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
VKP,Công ty Cổ phần Nhựa Tân Hóa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
TAN,Công ty Cổ phần Cà phê Thuận An,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
VMD,Công ty Cổ phần Y Dược phẩm Vimedimex,Y tế,Dược phẩm,Dược phẩm
VMG,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
MGC,Công ty Cổ phần Địa chất mỏ - TKV,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
AIC,Tổng Công ty Cổ phần Bảo hiểm DBV,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
E12,Công ty Cổ phần Xây Dựng Điện VNECO 12,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VNF,Công ty Cổ phần Vinafreight,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
VNG,Công ty Cổ phần Du Lịch Thành Thành Công,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
THW,Công ty Cổ phần Cấp nước Tân Hòa,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
TTH,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
VLG,Công ty Cổ phần VIMC Logistics,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,Bất động sản,Bất động sản,Bất động sản
DVN,Tổng Công ty Dược Việt Nam - CTCP,Y tế,Dược phẩm,Dược phẩm
VNP,Công ty Cổ phần Nhựa Việt Nam,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
VNT,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
VSA,Công ty Cổ phần Đại lý Hàng hải Việt Nam,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
TID,Công ty Cổ phần Tổng Công ty Tín Nghĩa,Bất động sản,Bất động sản,Bất động sản
TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,Bất động sản,Bất động sản,Bất động sản
DTG,Công ty Cổ phần Dược phẩm Tipharco,Y tế,Dược phẩm,Dược phẩm
VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,Bất động sản,Bất động sản,Bất động sản
TIS,Công ty Cổ phần Gang thép Thái Nguyên,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
TIX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Bất động sản,Bất động sản,Bất động sản
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
VTB,Công ty Cổ phần Viettronics Tân Bình,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
TKC,Công ty Cổ phần Xây dựng và Kinh doanh Địa ốc Tân Kỷ,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VTC,Công ty Cổ phần Viễn Thông VTC,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
TKG,Công ty Cổ phần Sản xuất và Thương mại Tùng Khánh,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
VTE,Công ty Cổ phần VINACAP Kim Long,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
TKU,Công ty Cổ phần Công nghiệp Tung Kuang,Tài nguyên Cơ bản,Kim loại,Nhôm
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh
VTS,Công ty Cổ phần Gạch Ngói Từ Sơn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TL4,Tổng Công ty Xây dựng Thủy lợi 4 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VTV,Công ty Cổ phần Năng lượng và Môi trường VICEM,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng,Hàng gia dụng,Đồ gia dụng một lần
TTL,Tổng Công ty Thăng Long - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
MBS,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TMC,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
TMP,Công ty Cổ phần Thủy điện Thác Mơ,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TMS,Công ty Cổ phần Transimex,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
TMT,Công ty Cổ phần Ô tô TMT,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
TMX,Công ty Cổ phần VICEM Thương mại Xi măng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TN1,Công ty Cổ phần Rox Key Holdings,Bất động sản,Bất động sản,Bất động sản
TNA,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
TNB,Công ty Cổ phần Thép Nhà Bè - VNSTEEL,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
STH,Công ty Cổ phần Phát hành sách Thái Nguyên,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
GDA,Công ty Cổ phần Tôn Đông Á,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
BAX,Công ty Cổ phần Thống Nhất,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TNP,Công ty Cổ phần Cảng Thị Nại,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
TNT,Công ty Cổ phần Tập đoàn TNT,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
TCJ,Công ty Cổ phần Tô Châu,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TOP,Công ty Cổ phần Phân phối Top One,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
TOT,Công ty Cổ phần Transimex Logistics,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
BCF,Công ty Cổ phần Thực phẩm Bích Chi,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
TPH,Công ty Cổ phần In Sách giáo khoa tại Thành phố Hà Nội,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
TPP,Công ty Cổ phần Tân Phú Việt Nam,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
TRA,Công ty Cổ phần Traphaco,Y tế,Dược phẩm,Dược phẩm
TCD,Công ty cổ phần Tập đoàn Xây dựng Tracodi,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TVB,Công ty Cổ phần Chứng khoán Trí Việt,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TSB,Công ty Cổ phần Ắc quy Tia Sáng,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
TSC,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
TSD,Công ty Cổ phần Du lịch Trường Sơn Coecco,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TTC,Công ty Cổ phần Gạch men Thanh Thanh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
TTG,Công ty Cổ phần May Thanh Trì,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TRT,Công ty Cổ phần RedstarCera,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TTN,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Viễn thông,Viễn thông cố định,Viễn thông cố định
TTZ,Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TQW,Công ty Cổ phần Cấp thoát nước Tuyên Quang,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
TV1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
TV3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TV4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
